lesson;id;category;fr_word;fr_genus;fr_needs_vowel_article;fr_sentence;de_word;de_genus;de_sentence
1;38;nom;camping-car;m.;FALSCH;Ils voyagent en camping-car.;Wohnmobil;n.;Sie reisen mit dem Wohnmobil.
1;39;adjectif;surpeuplé;;;La plage était surpeuplée.;überfüllt;;Der Strand war überfüllt.
1;40;expression;sur la côte;;;Nous avons une maison sur la côte.;an der Küste;;Wir haben ein Haus an der Küste.
1;41;expression;aller en avion;;;Nous allons en avion à Paris.;mit dem Flugzeug fliegen;;Wir fliegen nach Paris.
1;42;expression;dans le centre;;;L’hôtel est dans le centre-ville.;im Zentrum;;Das Hotel ist im Stadtzentrum.
1;43;nom;enquêteur;m.;WAHR;L’enquêteur cherche des indices.;Ermittler;m.;Der Ermittler sucht nach Hinweisen.
1;44;nom;désert;m.;FALSCH;Le Sahara est un grand désert.;Wüste;f.;Die Sahara ist eine große Wüste.
1;45;nom;vol;m.;FALSCH;Le vol de l’avion a été retardé.;Flug;m.;Der Flug wurde verspätet.
1;46;nom;exposition;f.;WAHR;Il y a une exposition de peinture au musée.;Ausstellung;f.;Es gibt eine Kunstausstellung im Museum.
1;47;nom;tableau;m.;FALSCH;Ce tableau est de Picasso.;Gemälde;n.;Dieses Gemälde ist von Picasso.
1;48;adjectif;scandinave;;;J’aime le design scandinave.;skandinavisch;;Ich mag skandinavisches Design.
1;49;nom;parquet;m.;FALSCH;Le parquet est en chêne.;Parkett;n.;Das Parkett ist aus Eiche.
1;50;nom;stratifié;m.;FALSCH;Le sol est en stratifié.;Laminat;n.;Der Boden ist aus Laminat.
1;51;nom;chêne;m.;FALSCH;Cette table est en chêne.;Eiche;f.;Der Tisch ist aus Eiche.
1;52;nom;aulne;m.;WAHR;L’aulne pousse près des rivières.;Erle;f.;Erlen wachsen oft an Flüssen.
1;53;nom;hêtre;m.;FALSCH;Le hêtre est un bois dur.;Buche;f.;Buche ist ein Hartholz.
1;54;nom;pin;m.;FALSCH;Le pin est un arbre résineux.;Kiefer;f.;Die Kiefer ist ein Nadelbaum.
1;55;nom;érable;m.;WAHR;L’érable donne du sirop.;Ahorn;m.;Aus dem Ahorn gewinnt man Sirup.
1;56;nom;épicéa;m.;WAHR;L’épicéa est un arbre commun en Europe.;Fichte;f.;Die Fichte ist ein häufiger Baum in Europa.
1;57;nom;pin parasol;m.;FALSCH;Le pin parasol pousse au sud.;Pinie;f.;Die Pinie wächst im Süden.
1;58;nom;bouleau;m.;FALSCH;Le bouleau a une écorce blanche.;Birke;f.;Die Birke hat weiße Rinde.
1;59;nom;cerisier;m.;FALSCH;Le cerisier fleurit au printemps.;Kirschbaum;m.;Der Kirschbaum blüht im Frühling.
1;60;nom;bois de cerisier;m.;FALSCH;Cette armoire est en bois de cerisier.;Kirschholz;n.;Dieser Schrank ist aus Kirschholz.
1;61;nom;mélange;m.;FALSCH;C’est un mélange de couleurs.;Mischung;f.;Das ist eine Farbmischung.
1;62;nom;marché aux puces;m.;FALSCH;J’ai acheté un vase au marché aux puces.;Flohmarkt;m.;Ich habe eine Vase auf dem Flohmarkt gekauft.
1;63;nom;vaisselle;f.;FALSCH;La vaisselle est propre.;Geschirr;n.;Das Geschirr ist sauber.
1;64;nom;marque;f.;FALSCH;Quelle est la marque de cette voiture ?;Marke;f.;Welche Marke hat dieses Auto?
1;65;adjectif;bon marché;;;Ces chaussures sont bon marché.;billig;;Diese Schuhe sind billig.
1;66;adjectif;meilleur marché;;;C’est meilleur marché que chez eux.;günstiger;;Das ist günstiger als bei ihnen.
1;67;nom;TVA;f.;FALSCH;La TVA en France est de 20 %.;Mehrwertsteuer;f.;Die Mehrwertsteuer in Frankreich beträgt 20 %.
1;68;nom;pancarte;f.;FALSCH;Il y avait une pancarte devant la boutique.;Schild;n.;Vor dem Laden hing ein Schild.
1;69;nom;brocante;f.;FALSCH;J’ai trouvé une vieille lampe à la brocante.;Flohmarkt;m.;Ich habe eine alte Lampe auf dem Flohmarkt gefunden.
1;70;nom;vide-greniers;f.;FALSCH;Le village organise un vide-greniers dimanche.;Dachbodenflohmarkt;m.;Das Dorf organisiert am Sonntag einen Dachbodenflohmarkt.
1;71;expression;dès que;;;Dès que j’arrive, je t’appelle.;sobald;;Sobald ich ankomme, rufe ich dich an.
1;72;expression;son regard s’illumine;;;Son regard s’illumine quand il parle de musique.;sein Blick hellt sich auf;;Sein Blick hellt sich auf, wenn er über Musik spricht.
1;73;phrase;;;;Ses yeux brillent de joie.;;;Seine Augen glänzen vor Freude.
1;74;adjectif;fiévreusement;;;Elle écrit fiévreusement dans son carnet.;fieberhaft;;Sie schreibt fieberhaft in ihr Notizbuch.
1;75;adjectif;lointain;;;C’est un souvenir lointain de mon enfance.;fern, entfernt;;Das ist eine ferne Erinnerung aus meiner Kindheit.
1;76;nom;trouvaille;f.;FALSCH;Cette chaise est une belle trouvaille.;Fundstück;n.;Dieser Stuhl ist ein schönes Fundstück.
1;77;expression;faire la route;;;Nous allons faire la route ensemble.;die Strecke zurücklegen;;Wir werden die Strecke gemeinsam fahren.
1;78;expression;avant même que + subj.;;;Ils partent avant même que le soleil ne se lève.;noch bevor + verb;;Sie brechen auf, noch bevor die Sonne aufgeht.
1;79;nom;cabas en toile;m.;FALSCH;Elle apporte toujours un cabas en toile au marché.;Stofftasche;f.;Sie bringt immer eine Stofftasche mit zum Markt.
1;80;nom;thermos;m.;FALSCH;J’ai pris un thermos de café.;Thermoskanne;f.;Ich habe eine Thermoskanne Kaffee mitgenommen.
1;81;nom;billet;m.;FALSCH;Il a payé avec un billet de 20 euros.;Geldschein;m.;Er hat mit einem 20-Euro-Geldschein bezahlt.
1;82;nom;lieu d’achat;m.;FALSCH;Le reçu indique le lieu d’achat.;Kaufort;m.;Der Kassenzettel zeigt den Kaufort.
1;83;nom;périphérie;f.;FALSCH;Ils habitent à la périphérie de la ville.;Stadtrand;m.;Sie wohnen am Stadtrand.
1;84;nom;phénomène;m.;FALSCH;Le marché est devenu un vrai phénomène culturel.;ein Phänomen;n.;Der Markt ist zu einem echten kulturellen Phänomen geworden.
1;85;verbe;se répandre;;;La nouvelle s’est rapidement répandue.;sich verbreiten;;Die Nachricht hat sich schnell verbreitet.
1;86;expression;milliers;;;Des milliers de personnes visitent le marché.;Tausende;;Tausende Menschen besuchen den Markt.
1;87;nom;coin;m.;FALSCH;Nous nous retrouvons dans un coin tranquille.;Ecke;f.;Wir treffen uns in einer ruhigen Ecke.
1;88;verbe;chuchoter;;;Les enfants chuchotent dans la bibliothèque.;flüstern;;Die Kinder flüstern in der Bibliothek.
1;89;verbe;ébrécher;;;J’ai une assiette ébréchée.;an einer Kante angeschlagen;;Ich habe einen Teller mit einer abgesprungenen Ecke.
1;90;verbe;évoquer;;;Il évoque souvent ses voyages.;erwähnen, ins Gedächtnis rufen;;Er erwähnt oft seine Reisen.
1;91;nom;âme;f.;WAHR;Cette maison a une âme.;Seele;f.;Dieses Haus hat eine Seele.
1;92;nom;horloge;f.;WAHR;L’horloge sonne midi.;Uhr;f.;Die Uhr schlägt zwölf.
1;93;verbe;patiner;;;La peinture commence à patiner avec le temps.;Patina bekommen;;Die Farbe bekommt mit der Zeit Patina.
1;94;expression;apporter du caractère;;;Ce détail apporte du caractère à la pièce.;Charakter verleihen;;Dieses Detail verleiht dem Raum Charakter.
1;95;verbe;plaisanter;;;On plaisante toujours avec lui.;scherzen;;Mit ihm scherzt man immer.
1;96;expression;avec ferveur;;;Elle négocie avec ferveur sur le marché.;leidenschaftlich;;Sie handelt leidenschaftlich auf dem Markt.
1;97;phrase;;;;Les vendeurs partagent volontiers des anecdotes sur leurs trésors.;;;Die Verkäufer erzählen gerne Anekdoten über ihre Schätze.
1;98;nom;convivialité;f.;FALSCH;La convivialité est au cœur de cet événement.;Geselligkeit;f.;Die Geselligkeit steht im Mittelpunkt dieser Veranstaltung.
1;99;phrase;;;;Le temps semble suspendu au fil des conversations.;;;Die Zeit scheint während der Gespräche stillzustehen.
1;100;nom;frisson;m.;FALSCH;J’ai ressenti un frisson de joie.;Kribbeln;n.;Ich habe einen Freudenschauer gespürt.
1;101;nom;rotin;m.;FALSCH;Elle s’assoit sur une chaise en rotin.;Rattan;n.;Sie setzt sich auf einen Rattanstuhl.
1;102;expression;malgré moi;;;J’ai souri malgré moi.;unwillkürlich;;Ich habe unwillkürlich gelächelt.
1;103;expression;une passion m’a gagnée;;;Peu à peu, une passion m’a gagnée.;eine Leidenschaft hat mich gepackt;;Nach und nach hat mich eine Leidenschaft ergriffen.
1;104;adjectif;rayonnante;;;Elle est rayonnante de bonheur.;strahlend;;Sie strahlt vor Glück.
1;105;expression;céder à une tentation;;;Il a cédé à la tentation d’acheter ce tableau.;einer Versuchung erliegen;;Er ist der Versuchung erlegen, das Bild zu kaufen.
1;106;adjectif;embrumé;;;Le paysage est embrumé ce matin.;neblig, benebelt;;Die Landschaft ist heute Morgen neblig.
1;107;nom;portefeuille;m.;FALSCH;J’ai perdu mon portefeuille.;Brieftasche;f.;Ich habe meine Brieftasche verloren.
1;108;nom;coupure;f.;FALSCH;Il a payé en petites coupures.;Geldschein;m.;Er hat mit kleinen Scheinen bezahlt.
1;109;verbe;arpenter;;;Ils arpentent les allées du marché.;schlendern;;Sie schlendern durch die Gänge des Marktes.
1;110;adjectif;insolite;;;C’est un objet insolite.;ungewöhnlich;;Das ist ein ungewöhnlicher Gegenstand.
1;111;verbe;rapporter;;;J’ai rapporté un souvenir de Paris.;mitbringen;;Ich habe ein Souvenir aus Paris mitgebracht.
1;112;nom;magie;f.;FALSCH;On sent la magie du lieu.;Magie;f.;Man spürt die Magie des Ortes.
2;113;expression;au fil des années;;;Au fil des années, ils sont devenus amis.;im Lauf der Jahre;;Im Lauf der Jahre sind sie Freunde geworden.
2;114;verbe;vous étiez;;;Vous étiez en vacances quand je vous ai appelé.;ihr wart / Sie waren;;Ihr wart im Urlaub, als ich euch anrief.
2;115;expression;en Croatie;;;Nous passons nos vacances en Croatie.;in Kroatien;;Wir verbringen unsere Ferien in Kroatien.
2;116;nom;maison de vacances;f.;FALSCH;Nous louons une maison de vacances près de la mer.;Ferienhaus;n.;Wir mieten ein Ferienhaus am Meer.
2;117;nom;attente;f.;WAHR;Son attente d’une réponse rapide a été déçue.;Erwartung;f.;Seine Erwartung auf eine schnelle Antwort wurde enttäuscht.
2;118;nom;réderie;f.;FALSCH;La réderie d’Amiens attire de nombreux visiteurs.;Trödelmarkt (Normandie);m.;Der Flohmarkt von Amiens zieht viele Besucher an.
2;119;nom;braderie;f.;FALSCH;La braderie de Lille est très connue.;Trödelmarkt (Nordfrankreich);m.;Die Flohmarkt in Lille ist sehr bekannt.
2;120;nom;chiffre d’affaires;m.;FALSCH;Le chiffre d’affaires a augmenté de 10 %.;Umsatz;m.;Der Umsatz ist um 10 % gestiegen.
2;121;nom;cabas;m.;FALSCH;Elle apporte un cabas en toile au marché.;Einkaufstasche;f.;Sie bringt eine Einkaufstasche aus Stoff mit auf den Markt.
2;122;nom;tissu;m.;FALSCH;Le tissu de cette chemise est très doux.;Stoff;m.;Der Stoff dieses Hemdes ist sehr weich.
2;123;adjectif;brut;;;Ce vin est brut et sec.;roh, naturbelassen, trocken;;Dieser Wein ist trocken.
2;124;nom;levure;f.;FALSCH;Il faut ajouter de la levure à la pâte.;Hefe;f.;Man muss dem Teig Hefe hinzufügen.
2;125;nom;biberon;m.;FALSCH;Le bébé boit son lait dans un biberon.;Fläschchen;n.;Das Baby trinkt seine Milch aus einem Fläschchen.
2;126;nom;remorque;f.;FALSCH;Il a attaché une remorque à sa voiture.;Anhänger;m.;Er hat einen Anhänger an sein Auto gehängt.
2;127;verbe;se débarrasser de qc.;;;Elle veut se débarrasser de ces vieux meubles.;etw. loswerden;;Sie will diese alten Möbel loswerden.
2;128;verbe;fondre;;;Le chocolat fond au soleil.;schmelzen;;Die Schokolade schmilzt in der Sonne.
2;129;nom;couvert;m.;FALSCH;Chaque invité a un couvert complet.;Besteck;n.;Zu jedem Gast gehört ein komplettes Besteck.
2;130;nom;argent;m.;WAHR;L’argent est un métal précieux.;Silber;n.;Silber ist ein Edelmetall.
2;131;nom;argenterie;f.;WAHR;Les couverts en argent sont rangés dans le tiroir.;Silberbesteck;n.;Das Silberbesteck liegt in der Schublade.
2;132;nom;fourchette;f.;FALSCH;Je n’ai pas de fourchette propre.;Gabel;f.;Ich habe keine saubere Gabel.
2;133;nom;couteau;m.;FALSCH;Le couteau n’est pas bien aiguisé.;Messer;n.;Das Messer ist nicht gut geschärft.
2;134;nom;cuillère;f.;FALSCH;Je prends une cuillère de sucre.;Löffel;m.;Ich nehme einen Löffel Zucker.
2;135;nom;dot;f.;FALSCH;Autrefois, la dot était courante dans les mariages.;Mitgift;f.;Früher war die Mitgift bei Hochzeiten üblich.
2;136;nom;porcelaine;f.;FALSCH;La porcelaine de Limoges est célèbre.;Porzellan;n.;Das Porzellan aus Limoges ist berühmt.
2;137;verbe;polir;;;Il faut polir l’argenterie pour qu’elle brille.;polieren;;Man muss das Silber polieren, damit es glänzt.
2;138;nom;lustre;m.;FALSCH;Un grand lustre éclaire la salle.;Kronleuchter;m.;Ein großer Kronleuchter erhellt den Saal.
2;139;adjectif;insolent;;;Cet enfant est insolent.;frech, respektlos;;Dieses Kind ist frech.
2;140;nom;perte;f.;FALSCH;La perte de son portefeuille l’a beaucoup inquiété.;Verlust;m.;Der Verlust seiner Brieftasche hat ihn sehr beunruhigt.
2;141;nom;début;m.;FALSCH;Le début du film est passionnant.;Anfang;m.;Der Anfang des Films ist spannend.
2;142;nom;faïence;f.;FALSCH;La faïence de Delft est très réputée.;Steingut;n.;Die Delfter Steingut ist sehr berühmt.
2;143;nom;vente aux enchères;f.;FALSCH;La vente aux enchères a eu lieu hier.;Auktion;f.;Die Auktion fand gestern statt.
2;144;verbe;sauvegarder;;;Je dois sauvegarder mes fichiers.;speichern;;Ich muss meine Dateien speichern.
2;145;nom;drap;m.;FALSCH;Les draps sont propres et frais.;Bettlaken;n.;Die Bettlaken sind sauber und frisch.
2;146;verbe;marchander;;;Il aime marchander les prix au marché.;feilschen;;Er feilscht gern um die Preise auf dem Markt.
2;147;nom;cigogne;f.;FALSCH;Une cigogne a niché sur le toit.;Storch;m.;Ein Storch hat auf dem Dach genistet.
2;148;verbe;faire la poussière;;;Je dois faire la poussière dans le salon.;Staub wischen;;Ich muss im Wohnzimmer Staub wischen.
2;149;nom;mouchoir;m.;FALSCH;Il a sorti un mouchoir de sa poche.;Taschentuch;n.;Er zog ein Taschentuch aus seiner Tasche.
2;150;nom;trousseau;m.;FALSCH;Elle a reçu un trousseau complet pour son mariage.;Aussteuer;f.;Sie hat zu ihrer Hochzeit eine komplette Aussteuer erhalten.
2;151;nom;nappe;f.;FALSCH;La nappe blanche est sur la table.;Tischdecke;f.;Die weiße Tischdecke liegt auf dem Tisch.
2;152;nom;tasse;f.;FALSCH;Je bois mon café dans une tasse.;Tasse;f.;Ich trinke meinen Kaffee aus einer Tasse.
3;153;verbe;traîner;;;Il aime simplement traîner le week-end.;herumhängen;;Er hängt am Wochenende einfach nur herum.
3;154;nom;bague;f.;FALSCH;Elle porte une bague en or.;Ring;m.;Sie trägt einen Goldring.
3;155;nom;scientifique;m.;FALSCH;Le scientifique étudie le climat.;Wissenschaftler;m.;Der Wissenschaftler untersucht das Klima.
3;156;nom;réchauffement climatique;m.;FALSCH;Le réchauffement climatique est une menace mondiale.;Erderwärmung;f.;Die Erderwärmung ist eine weltweite Bedrohung.
3;157;nom;changement climatique;m.;FALSCH;Le changement climatique affecte toute la planète.;Klimawandel;m.;Der Klimawandel betrifft den ganzen Planeten.
3;158;nom;inondation;f.;WAHR;L’inondation a endommagé de nombreuses maisons.;Überschwemmung;f.;Die Überschwemmung hat viele Häuser beschädigt.
3;159;expression;dû à la;;;Les retards sont dûs à la pluie.;aufgrund von;;Die Verspätungen sind aufgrund des Regens.
3;160;nom;sécheresse;f.;FALSCH;La sécheresse dure depuis plusieurs mois.;Dürre;f.;Die Dürre hält seit mehreren Monaten an.
3;161;adjectif;sec / sèche;;;Le climat est très sec en été.;trocken;;Das Klima ist im Sommer sehr trocken.
3;162;nom;oiseau migrateur;m.;WAHR;Un oiseau migrateur revient au printemps.;Zugvogel;m.;Ein Zugvogel kehrt im Frühling zurück.
3;163;nom;forêt mixte;f.;FALSCH;La région est couverte d’une forêt mixte.;Mischwald;m.;Die Region ist von einem Mischwald bedeckt.
3;164;nom;glacier;m.;FALSCH;Le glacier fond rapidement.;Gletscher;m.;Der Gletscher schmilzt schnell.
3;165;nom;viking;m.;FALSCH;Les Vikings ont voyagé en Europe.;Wikinger;m.;Die Wikinger reisten durch Europa.
3;166;verbe;s’installer;;;Les colons se sont installés près du fleuve.;sich niederlassen;;Die Siedler haben sich am Fluss niedergelassen.
3;167;nom;période glaciaire;f.;FALSCH;La période glaciaire a duré plusieurs millénaires.;Eiszeit;f.;Die Eiszeit dauerte mehrere Jahrtausende.
3;168;nom;marais;m.;FALSCH;Un marais s’étend derrière la forêt.;Sumpf;m.;Hinter dem Wald erstreckt sich ein Sumpf.
3;169;expression;entendre dire;;;J’ai entendu dire qu’il va neiger.;gehört haben, dass;;Ich habe gehört, dass es schneien wird.
3;170;nom;mer Baltique;f.;FALSCH;Nous passons nos vacances à la mer Baltique.;Ostsee;f.;Wir verbringen unsere Ferien an der Ostsee.
3;171;nom;chute de pierres;f.;FALSCH;Une chute de pierres a bloqué la route.;Steinschlag;m.;Ein Steinschlag hat die Straße blockiert.
3;172;nom;froid;m.;FALSCH;Le froid de l’hiver est intense.;Kälte;f.;Die Winterkälte ist heftig.
3;173;verbe;retenir un matériau;;;Ce mur retient bien le matériau isolant.;ein Material zurückhalten;;Diese Wand hält das Dämmmaterial gut zurück.
3;174;nom;fissure;f.;FALSCH;Une fissure est apparue dans le mur.;Riss;m.;Ein Riss ist in der Wand entstanden.
3;175;verbe;geler;;;L’eau commence à geler.;gefrieren;;Das Wasser beginnt zu gefrieren.
3;176;verbe;patiner;;;Nous aimons patiner en hiver.;Schlittschuh laufen;;Wir laufen im Winter gern Schlittschuh.
3;177;verbe;déneiger;;;Il faut déneiger l’allée.;Schnee räumen;;Man muss den Weg vom Schnee befreien.
3;178;verbe;faire de la luge;;;Les enfants adorent faire de la luge.;Schlitten fahren;;Die Kinder rodeln gern.
3;179;nom;téléphérique;m.;FALSCH;Le téléphérique monte jusqu’au sommet.;Seilbahn;f.;Die Seilbahn fährt bis zum Gipfel.
3;180;nom;canon à neige;m.;FALSCH;Un canon à neige fonctionne toute la nuit.;Schneekanone;f.;Die Schneekanone läuft die ganze Nacht.
3;181;nom;borne de recharge;f.;FALSCH;Une borne de recharge est installée près du parking.;Ladestation;f.;Neben dem Parkplatz steht eine Ladestation.
3;182;verbe;s’échapper;;;La fumée s’échappe de la cheminée.;entweichen;;Der Rauch entweicht aus dem Schornstein.
3;183;verbe;démarrer;;;La voiture démarre sans problème.;starten;;Das Auto startet ohne Probleme.
3;184;verbe;décoller;;;L’avion décolle à 15 heures.;abheben;;Das Flugzeug hebt um 15 Uhr ab.
3;185;nom;décollage;m.;FALSCH;Le décollage de l’avion a été retardé.;Start;m.;Der Start des Flugzeugs hat sich verzögert.
3;186;verbe;atterrir;;;L’avion va atterrir dans quelques minutes.;landen;;Das Flugzeug wird in wenigen Minuten landen.
3;187;nom;atterrissage;m.;WAHR;L’atterrissage s’est bien passé.;Landung;f.;Die Landung ist gut verlaufen.
3;188;nom;méduse;f.;FALSCH;Une méduse flotte près de la plage.;Qualle;f.;Eine Qualle treibt in der Nähe des Strands.
3;189;nom;double/triple vitrage;m.;FALSCH;Un double vitrage améliore l’isolation.;Doppel-/Dreifachverglasung;f.;Eine Doppel- oder Dreifachverglasung verbessert die Dämmung.
3;190;nom;kérosène;m.;FALSCH;Le kérosène est utilisé comme carburant d’avion.;Kerosin;n.;Kerosin wird als Flugzeugtreibstoff verwendet.
3;191;nom;pompe à chaleur;f.;FALSCH;Une pompe à chaleur chauffe la maison.;Wärmepumpe;f.;Eine Wärmepumpe heizt das Haus.
3;192;verbe;enlever des arbres;;;Il faut enlever des arbres pour construire la route.;Bäume entfernen;;Man muss Bäume entfernen, um die Straße zu bauen.
3;193;nom;arbuste;m.;WAHR;Un arbuste pousse près de la haie.;Strauch;m.;Ein Strauch wächst neben der Hecke.
3;194;nom;verdure;f.;FALSCH;La verdure du parc est magnifique.;Grün;n.;Das Grün des Parks ist wunderschön.
3;195;nom;couronne (d’un arbre);f.;FALSCH;La couronne de l’arbre est très large.;Baumkrone;f.;Die Baumkrone ist sehr ausladend.
3;196;verbe;déborder;;;La rivière a débordé après la pluie.;über die Ufer treten;;Der Fluss ist nach dem Regen über die Ufer getreten.
3;197;verbe;abattre;;;Il faut abattre cet arbre malade.;fällen;;Dieser kranke Baum muss gefällt werden.
3;198;nom;panneau solaire;m.;FALSCH;Un panneau solaire produit de l’électricité.;Solarpanel;n.;Ein Solarpanel erzeugt Strom.
3;199;nom;forage;m.;FALSCH;Le forage a atteint une nappe d’eau.;Bohrung;f.;Die Bohrung hat eine Wasserader erreicht.
3;200;adjectif;abîmé;;;Le meuble est abîmé par l’humidité.;beschädigt;;Das Möbelstück ist durch die Feuchtigkeit beschädigt.
3;201;nom;rail;m.;FALSCH;Les rails du train doivent être entretenus.;Schiene;f.;Die Bahnschienen müssen gewartet werden.
3;202;verbe;soutenir;;;Il faut soutenir ce projet.;unterstützen;;Man muss dieses Projekt unterstützen.
3;203;nom;stockage;m.;FALSCH;Le stockage de l’énergie est un défi.;Speicher;m.;Die Energiespeicherung ist eine Herausforderung.
3;204;nom;tier;m.;FALSCH;Un tiers des habitants a signé la pétition.;Drittel;n.;Ein Drittel der Einwohner hat die Petition unterschrieben.
3;205;nom;chauffe-eau instantané;m.;FALSCH;Un chauffe-eau instantané fournit de l’eau chaude immédiatement.;Durchlauferhitzer;m.;Ein Durchlauferhitzer liefert sofort heißes Wasser.
3;206;expression;Ça nous arrange bien;;;Ça nous arrange bien que tu puisses venir.;das passt uns gut;;Es passt uns gut, dass du kommen kannst.
3;207;nom;amortissement;m.;WAHR;L’amortissement de l’investissement est prévu en cinq ans.;Amortisation;f.;Die Amortisation der Investition ist in fünf Jahren geplant.
3;208;nom;carrelage;m.;FALSCH;Le carrelage de la cuisine est neuf.;Kachel;f.;Die Kacheln in der Küche sind neu.
3;209;nom;haut-parleur;m.;WAHR;Un haut-parleur diffuse la musique.;Lautsprecher;m.;Ein Lautsprecher gibt die Musik wieder.
3;210;nom;épaisseur;f.;WAHR;L’épaisseur du mur est de 40 centimètres.;Dicke;f.;Die Dicke der Wand beträgt 40 cm.
3;211;expression;ne guère pousser à qc;;;Il ne pousse guère à la prudence.;kaum zu etwas drängen;;Er drängt kaum zu Vorsicht.
3;212;nom;prévision;f.;FALSCH;La prévision météo annonce de la pluie.;Vorhersage;f.;Die Wettervorhersage meldet Regen.
3;213;nom;prédiction;f.;FALSCH;La prédiction s’est révélée exacte.;Prognose;f.;Die Prognose hat sich als zutreffend erwiesen.
