lesson;id;sid;fr;de
2;125;125;Le bébé boit son lait dans un biberon.;Das Baby trinkt seine Milch aus einem Fläschchen.
2;126;126;Il a accroché une remorque à sa voiture.;Er hat einen Anhänger an sein Auto gehängt.
2;127;127;Elle veut se débarrasser de ces vieux meubles.;Sie will diese alten Möbel loswerden.
2;128;128;Le chocolat fond au soleil.;Die Schokolade schmilzt in der Sonne.
2;129;129;Chaque invité a un couvert complet.;Zu jedem Gast gehört ein komplettes Besteck.
2;130;130;L'argent est un métal précieux.;Silber ist ein Edelmetall.
2;131;131;L'argenterie est rangée dans le tiroir.;Das Silberbesteck liegt in der Schublade.
2;132;132;Je n'ai pas de fourchette propre.;Ich habe keine saubere Gabel.
2;133;133;Le couteau n'est pas bien aiguisé.;Das Messer ist nicht gut geschärft.
2;134;134;Je prends une cuillère de sucre.;Ich nehme einen Löffel Zucker.
2;135;135;Autrefois, la dot était courante dans les mariages.;Früher war die Mitgift bei Hochzeiten üblich.
2;136;136;La porcelaine de Limoges est célèbre.;Das Porzellan aus Limoges ist berühmt.
2;137;137;Il faut polir l'argenterie pour qu'elle brille.;Man muss das Silber polieren, damit es glänzt.
2;138;138;Un grand lustre éclaire la salle.;Ein großer Kronleuchter erhellt den Saal.
2;139;139;Cet enfant est insolent.;Dieses Kind ist frech.
2;140;140;La perte de son portefeuille l'a beaucoup inquiété.;Der Verlust seiner Brieftasche hat ihn sehr beunruhigt.
2;141;141;Le début du film est passionnant.;Der Anfang des Films ist spannend.
2;142;142;La faïence de Delft est très réputée.;Die Delfter Steingut ist sehr berühmt.
2;143;143;La vente aux enchères a eu lieu hier.;Die Auktion fand gestern statt.
2;144;144;Je dois sauvegarder mes fichiers.;Ich muss meine Dateien speichern.
2;145;145;Les draps sont propres et frais.;Die Bettlaken sind sauber und frisch.
2;146;146;Il aime marchander les prix au marché.;Er feilscht gern um die Preise auf dem Markt.
2;147;147;Une cigogne a niché sur le toit.;Ein Storch hat auf dem Dach genistet.
2;148;148;Je dois faire la poussière dans le salon.;Ich muss im Wohnzimmer Staub wischen.
2;149;149;Il a sorti un mouchoir de sa poche.;Er zog ein Taschentuch aus seiner Tasche.
2;150;150;Elle a reçu un trousseau complet pour son mariage.;Sie hat zu ihrer Hochzeit eine komplette Aussteuer erhalten.
2;151;151;La nappe blanche est sur la table.;Die weiße Tischdecke liegt auf dem Tisch.
2;152;152;Je bois mon café dans une tasse.;Ich trinke meinen Kaffee aus einer Tasse.
3;153;153;Il aime simplement traîner le week-end.;Er hängt am Wochenende einfach nur herum
3;154;154;Elle porte une bague en or.;Sie trägt einen Goldring.
3;155;155;Le scientifique étudie le climat.;Der Wissenschaftler untersucht das Klima.
3;156;156;Le réchauffement climatique est une menace mondiale.;Die Erderwärmung ist eine weltweite Bedrohung.
3;157;157;Le changement climatique affecte toute la planète.;Der Klimawandel betrifft den ganzen Planeten.
3;158;158;L'inondation a endommagé de nombreuses maisons.;Die Überschwemmung hat viele Häuser beschädigt.
3;159;159;Les retards sont dûs à la pluie.;Die Verspätungen sind aufgrund des Regens.
3;160;160;La sécheresse dure depuis plusieurs mois.;Die Dürre hält seit mehreren Monaten an.
3;161;161;Le climat est très sec en été.;Das Klima ist im Sommer sehr trocken.
3;162;162;Un oiseau migrateur revient au printemps.;Ein Zugvogel kehrt im Frühling zurück.
3;163;163;La région est couverte d'une forêt mixte.;Die Region ist von einem Mischwald bedeckt.
3;164;164;Le glacier fond rapidement.;Der Gletscher schmilzt schnell.
3;165;165;Les Vikings ont voyagé en Europe.;Die Wikinger reisten durch Europa.
3;166;166;Les colons se sont installés près du fleuve.;Die Siedler haben sich am Fluss niedergelassen.
3;167;167;La période glaciaire a duré plusieurs millénaires.;Die Eiszeit dauerte mehrere Jahrtausende.
3;168;168;Un marais s'étend derrière la forêt.;Hinter dem Wald erstreckt sich ein Sumpf.
3;169;169;J'ai entendu dire qu'il allait neiger.;Ich habe gehört, dass es schneien wird.
3;170;170;Nous passons nos vacances à la mer Baltique.;Wir verbringen unsere Ferien an der Ostsee.
3;171;171;Une chute de pierres a bloqué la route.;Ein Steinschlag hat die Straße blockiert.
3;172;172;Le froid de l'hiver est intense.;Die Winterkälte ist heftig.
3;173;173;Ce mur retient bien le matériau isolant.;Diese Wand hält das Dämmmaterial gut zurück.
3;174;174;Une fissure est apparue dans le mur.;Ein Riss ist in der Wand entstanden.
3;175;175;L'eau commence à geler.;Das Wasser beginnt zu gefrieren.
3;176;176;Nous aimons patiner en hiver.;Wir laufen im Winter gern Schlittschuh.
3;177;177;Il faut déneiger l'allée.;Man muss den Weg vom Schnee befreien.
3;178;178;Les enfants adorent faire de la luge.;Die Kinder rodeln gern.
3;179;179;Le téléphérique monte jusqu'au sommet.;Die Seilbahn fährt bis zum Gipfel.
3;180;180;Un canon à neige fonctionne toute la nuit.;Die Schneekanone läuft die ganze Nacht.
3;181;181;Une borne de recharge est installée près du parking.;Neben dem Parkplatz steht eine Ladestation.
3;182;182;La fumée s'échappe de la cheminée.;Der Rauch entweicht aus dem Schornstein.
3;183;183;La voiture démarre sans problème.;Das Auto startet ohne Probleme.
3;184;184;L'avion décolle à 15 heures.;Das Flugzeug hebt um 15 Uhr ab.
3;185;185;Le décollage de l'avion a été retardé.;Der Start des Flugzeugs hat sich verzögert.
3;186;186;L'avion va atterrir dans quelques minutes.;Das Flugzeug wird in wenigen Minuten landen.
3;187;187;L'atterrissage s'est bien passé.;Die Landung ist gut verlaufen.
3;188;188;Une méduse flotte près de la plage.;Eine Qualle treibt in der Nähe des Strands.
3;189;189;Un double vitrage améliore l'isolation.;Eine Doppel- oder Dreifachverglasung verbessert die Dämmung.
3;190;190;Le kérosène est utilisé comme carburant d'avion.;Kerosin wird als Flugzeugtreibstoff verwendet.
3;191;191;Une pompe à chaleur chauffe la maison.;Eine Wärmepumpe heizt das Haus.
3;192;192;Il faut enlever des arbres pour construire la route.;Man muss Bäume entfernen, um die Straße zu bauen.
3;193;193;Un arbuste pousse près de la haie.;Ein Strauch wächst neben der Hecke.
3;194;194;La verdure du parc est magnifique.;Das Grün des Parks ist wunderschön.
3;195;195;La couronne de l'arbre est très large.;Die Baumkrone ist sehr ausladend.
3;196;196;La rivière a débordé après la pluie.;Der Fluss ist nach dem Regen über die Ufer getreten.
3;197;197;Il faut abattre cet arbre malade.;Dieser kranke Baum muss gefällt werden.
3;198;198;Un panneau solaire produit de l'électricité.;Ein Solarpanel erzeugt Strom
3;199;199;Le forage a atteint une nappe d'eau.;Die Bohrung hat eine Wasserader erreicht.
3;200;200;Le meuble est abîmé par l'humidité.;Das Möbelstück ist durch die Feuchtigkeit beschädigt.
3;201;201;Les rails du train doivent être entretenus.;Die Bahnschienen müssen gewartet werden.
3;202;202;Il faut soutenir ce projet.;Man muss dieses Projekt unterstützen.
3;204;204;Un tiers des habitants a signé la pétition.;Ein Drittel der Einwohner hat die Petition unterschrieben.
3;205;205;Un chauffe eau instantané fournit de l'eau chaude immédiatement.;Ein Durchlauferhitzer liefert sofort heißes Wasser.
3;206;206;Ça nous arrange bien que tu puisses venir.;Es passt uns gut, dass du kommen kannst.
3;207;207;L'amortissement de l'investissement est prévu en cinq ans.;Die Amortisation der Investition ist in fünf Jahren geplant.
3;208;208;Le carrelage de la cuisine est neuf.;Die Kacheln in der Küche sind neu.
3;209;209;Un haut-parleur diffuse la musique.;Ein Lautsprecher gibt die Musik wieder.
3;210;210;L'épaisseur du mur est de 40 centimètres.;Die Dicke der Wand beträgt 40 cm
3;211;211;Il ne parle guère de sa famille.;Er spricht kaum über seine Familie.
3;212;212;La prévision météo annonce de la pluie.;Die Wettervorhersage meldet Regen.
3;213;213;La prédiction s'est révélée exacte.;Die Prognose hat sich als zutreffend erwiesen.
3;214;214;Les dégâts de la tempête sont importants.;Die Sturmschäden sind erheblich.
4;215;215;L'entreprise doit fournir des preuves.;Die Firma muss Beweise liefern.
4;216;216;On dit qu'on parle le meilleur français à Tours, sur la Loire.;Man sagt, in Tours an der Loire spricht man das beste Französisch.
4;217;217;Mon fils va à la maternelle depuis septembre.;Mein Sohn geht seit September in den Kindergarten.
4;218;218;Elle boit une tisane avant de dormir.;Sie trinkt vor dem Schlafengehen einen Kräutertee.
4;219;219;J'aime les infusions à la menthe.;Ich mag Pfefferminztee.
4;220;220;Ils veulent agrandir la maison.;Sie wollen das Haus vergrößern.
4;221;221;Ce médicament aide à guérir rapidement.;Dieses Medikament hilft, schnell zu heilen.
4;222;222;Le skieur descend la piste à toute vitesse.;Der Skifahrer fährt mit voller Geschwindigkeit die Piste hinunter.
4;223;223;Il est tombé malade subitement.;Er ist plötzlich krank geworden.
4;224;224;Il neige souvent au mois d'octobre ici.;Hier schneit es oft im Oktober.
4;225;225;Une couche de neige couvre les toits.;Eine Schneeschicht bedeckt die Dächer.
4;226;226;Peux-tu me passer le tabouret ?;Kannst du mir den Hocker reichen?
4;227;227;Il y a de la rouille sur le métal.;Auf dem Metall ist Rost.
4;228;228;Les vieilles chaînes ont commencé à rouiller.;Die alten Ketten haben angefangen zu rosten.
4;229;229;Il a mis ses souliers neufs pour la fête.;Er hat seine neuen Schuhe für die Feier angezogen.
4;230;230;La semelle de mes bottes est cassée.;Die Sohle meiner Stiefel ist kaputt.
4;231;231;Elle porte des chaussures à talon haut.;Sie trägt Schuhe mit hohen Absätzen.
4;232;232;Les guêtres protègent les jambes de la neige.;Die Gamaschen schützen die Beine vor Schnee.
4;233;233;Le chemin est plein de boue après la pluie.;Der Weg ist nach dem Regen voller Schlamm
4;234;234;Il a attrapé le poisson avec un filet.;Er hat den Fisch mit einem Netz gefangen.
4;235;235;Les travailleurs saisonniers viennent chaque hiver.;Die Saisonarbeiter kommen jeden Winter.
4;236;236;On a besoin de dix mètres cubes de bois.;Wir brauchen zehn Kubikmeter Holz.
4;237;237;Le stockage des données est sécurisé.;Die Datenspeicherung ist sicher.
4;238;238;La retenue d'eau sert à produire de l'électricité.;Das Rückhaltebecken dient der Stromerzeugung.
4;239;239;L'acheminement du courrier prend deux jours.;Der Transport der Post dauert zwei Tage.
4;240;240;Il faut équilibrer le budget.;Man muss das Budget ausgleichen.
4;241;241;Du sommet, la vue est magnifique.;Vom Gipfel aus ist die Aussicht wunderschön.
4;242;242;Les fleurs poussent en abondance au printemps.;Im Frühling wachsen die Blumen im Überfluss.
5;243;243;J'ai pris rendez-vous chez l'otorhino.;Ich habe einen Termin beim HNO-Arzt.
5;244;244;L'eau de pluie est utilisable après filtration.;Regenwasser ist nach der Filterung verwendbar.
5;245;245;L'héliportage permet d'apporter du matériel en altitude.;Der Helikoptertransport ermöglicht den Materialtransport in der Höhe.
5;246;246;On admire le coucher de soleil au dessus de la montagne.;Man bewundert den Sonnenuntergang über dem Berg.
5;247;247;Ce disque dur a une grande mémoire.;Diese Festplatte hat einen großen Datenspeicher.
5;248;248;Les accumulateurs stockent l'énergie solaire.;Energiespeicher speichern Solarenergie.
5;249;249;Il a accumulé beaucoup d'expérience.;Er hat viel Erfahrung angesammelt.
5;250;250;Ils traversent le lac en barque.;Sie überqueren den See mit einem Boot.
5;251;251;L'extension du réseau est en cours.;Die Erweiterung des Netzes ist im Gange.
5;252;252;Le damage des pistes commence à l'aube.;Die Präparierung der Pisten beginnt im Morgengrauen.
5;253;253;La dameuse passe chaque nuit.;Die Pistenraupe fährt jede Nacht.
5;254;254;Ils ont dû abattre des arbres malades.;Sie mussten kranke Bäume fällen.
5;255;255;Il faut débloquer le compte avant de continuer.;Man muss das Konto entsperren, bevor man weitermacht.
5;256;256;Le thermalisme attire beaucoup de curistes.;Das Thermalwesen zieht viele Kurgäste an.
5;257;257;Le VTT est très populaire en montagne.;Mountainbiken ist in den Bergen sehr beliebt.
5;258;258;Le moniteur de parapente explique les consignes de sécurité.;Der Gleitschirmlehrer erklärt die Sicherheitsregeln.
5;259;259;Ils veulent étaler la fréquentation sur toute l'année.;Sie wollen den Besuch über das ganze Jahr verteilen.
5;260;260;Il n'y a pas de neige, mais beaucoup de vent.;Es gibt keinen Schnee, aber viel Wind.
5;261;261;Les habits de ski doivent être imperméables.;Skibekleidung muss wasserdicht sein.
5;262;262;On marche avec des raquettes dans la neige.;Man geht mit Schneeschuhen durch den Schnee.
5;263;263;Le confinement a changé nos habitudes.;Der Lockdown hat unsere Gewohnheiten verändert.
5;264;264;Les bottes de ski sont lourdes à porter.;Skischuhe sind schwer zu tragen.
5;265;265;Le matériel de ski est prêt.;Die Skiausrüstung ist bereit.
5;266;266;Ce matériau est très résistant.;Dieses Material ist sehr widerstandsfähig.
5;267;267;Ils skient sans forfait aujourd'hui.;Sie fahren heute ohne Skipass Ski.
5;268;268;Il n'a pas suffisamment dormi.;Er hat nicht ausreichend geschlafen.
5;269;269;Le bilan économique de la station est positif.;Die wirtschaftliche Bilanz des Skigebiets ist positiv.
5;270;270;Il est dans le déni de la réalité.;Er leugnet die Realität.
5;271;271;J'ai du mal à me lever tôt.;Ich habe Schwierigkeiten, früh aufzustehen.
5;272;272;L'hydrogène est une énergie propre.;Wasserstoff ist eine saubere Energiequelle.
5;273;273;Ils veulent faire perdurer la tradition.;Sie wollen die Tradition fortbestehen lassen.
5;274;274;La sobriété énergétique est un objectif national.;Energetische Genügsamkeit ist ein nationales Ziel.
5;275;275;Les gaz à effet de serre augmentent la température.;Die Treibhausgase erhöhen die Temperatur.
5;276;276;La France fait figure de bon élève en matière d'écologie.;Frankreich gilt in Sachen Ökologie als Musterschüler.
5;277;277;Une éolienne produit de l'électricité grâce au vent.;Eine Windkraftanlage erzeugt Strom durch Wind.
5;278;278;Les fleurs poussent vite au printemps.;Die Blumen wachsen im Frühling schnell.
6;279;279;Ses grands-parents aiment le gâter à Noël.;Seine Großeltern verwöhnen ihn gern zu Weihnachten.
6;280;280;Ce fromage est produit de façon artisanale.;Dieser Käse wird handwerklich hergestellt.
6;281;281;Elle est fille unique et vit seule.;Sie ist Einzelkind und lebt allein.
6;282;282;J'ai un demi-frère qui habite à Lyon.;Ich habe einen Halbbruder, der in Lyon wohnt.
6;283;283;Elle est toujours très franche avec ses amis.;Sie ist immer sehr ehrlich zu ihren Freunden.
6;284;284;J'apprécie sa franchise.;Ich schätze ihre Ehrlichkeit.
6;285;285;Le taux de natalité baisse depuis dix ans.;Die Geburtenrate sinkt seit zehn Jahren.
6;286;286;Le fédéralisme donne plus de pouvoir aux régions.;Der Föderalismus gibt den Regionen mehr Macht.
6;287;287;Il se sent débordé par le travail.;Er fühlt sich von der Arbeit überfordert.
6;288;288;Le cabinet médical est au deuxième étage.;Die Arztpraxis ist im zweiten Stock.
6;289;289;Une bagarre a éclaté devant l'école.;Vor der Schule ist eine Schlägerei ausgebrochen.
6;290;290;Il a cafté à la maîtresse !;Er hat bei der Lehrerin gepetzt!
6;291;291;Quelle cafteuse !;Was für eine Petze!
6;292;292;J'ai le cafard depuis lundi.;Ich bin seit Montag schlecht drauf.
6;293;293;Un cafard court sur le mur !;Eine Kakerlake läuft über die Wand!
6;294;294;Il devient désinhibé après quelques verres.;Nach ein paar Gläsern wird er hemmungslos.
6;295;295;Elle ne prend pas de gants pour dire ce qu'elle pense.;Sie nimmt kein Blatt vor den Mund.
6;296;296;Il sait bien gérer les conflits au travail.;Er kann Konflikte bei der Arbeit gut lösen.
6;297;297;Il y a une vraie complicité entre eux.;Zwischen ihnen besteht echte Vertrautheit.
6;298;298;J'ai parcouru l'étude rapidement.;Ich habe die Studie kurz durchgesehen.
6;299;299;Il a atteint son objectif.;Er hat sein Ziel erreicht.
6;300;300;Il est tantôt calme, tantôt nerveux.;Er ist mal ruhig, mal nervös.
6;301;301;L'entraide est essentielle dans notre équipe.;Gegenseitige Hilfe ist in unserem Team wichtig.
6;302;302;La police a dressé un constat après l'accident.;Die Polizei hat nach dem Unfall eine Feststellung aufgenommen.
7;303;303;La cargaison est arrivée au port.;Die Fracht ist im Hafen angekommen.
7;304;304;Vous êtes les bienvenus chez nous !;Ihr seid bei uns willkommen!
7;305;305;Les traditions celtes sont encore présentes en Bretagne.;Die keltischen Traditionen sind in der Bretagne noch lebendig.
7;306;306;Ils communiquent par l'intermédiaire d'un avocat.;Sie kommunizieren über einen Anwalt.
7;307;307;Il entretient de bonnes relations avec ses voisins.;Er pflegt gute Beziehungen zu seinen Nachbarn.
7;308;308;L'entretien a duré une heure.;Das Gespräch dauerte eine Stunde.
7;309;309;Elle a réussi son entretien d'embauche.;Sie hat ihr Bewerbungsgespräch bestanden.
7;310;310;Ils se sont entretenus longuement.;Sie haben sich lange unterhalten.
7;311;311;Il souffre d'une rage de dents terrible.;Er hat furchtbare Zahnschmerzen.
7;312;312;Elle est fâchée contre lui.;Sie ist wütend auf ihn.
7;313;313;Il veut bien éduquer ses enfants.;Er will seine Kinder gut erziehen.
7;314;314;L'éducation des enfants n'est pas facile.;Die Erziehung der Kinder ist nicht einfach.
7;315;315;Ils se disputent souvent pour des broutilles.;Sie streiten sich oft wegen Kleinigkeiten.
7;316;316;N'hésite pas à poser des questions.;Zögere nicht, Fragen zu stellen.
7;317;317;Il a grandi hors de la famille.;Er ist außerhalb der Familie aufgewachsen.
7;318;318;Il a appris le métier sur le tas.;Er hat den Beruf durch Praxis gelernt.
7;319;319;Il y a un tas de papiers sur la table.;Auf dem Tisch liegt ein Haufen Papiere.
7;320;320;C'est une nouvelle très réjouissante.;Das ist eine sehr erfreuliche Nachricht.
7;321;321;Il demeure à Paris depuis cinq ans.;Er wohnt seit fünf Jahren in Paris.
