id;unit_id;fr;de;note;has_audio_fr;has_audio_de
108;1;Il {a payé|#47} en {petites|#48} {coupures|#49}.;Er {hat|#50} mit {kleinen|#51} {Scheinen|#52} {bezahlt|#50}.;;true;true
109;1;Ils {arpentent|#44} les {allées|#45} du {marché|#46}.;Sie {schlendern|#43} durch die {Gänge|#42} des {Marktes|#41}.;;true;true
110;1;C’est un {objet|#39} {insolite|#38}.;Das ist ein {ungewöhnlicher|#37} {Gegenstand|#40}.;;true;true
111;1;J’{ai rapporté|#34} un {souvenir|#36} de Paris.;Ich {habe|#33} ein {Souvenir|#35} aus Paris {mitgebracht|#33}.;;true;true
112;1;On {ressent|#32} la {magie|#5} du {lieu|#6}.;Man {spürt|#31} die {Magie|#23} des {Ortes|#24}.;;true;true
113;2;{Au fil des années|#909}, ils sont devenus amis.;{Im Lauf der Jahre|#910} sind sie Freunde geworden.;;true;false
114;2;Vous étiez en {vacances|#911} quand je vous ai appelés.;Ihr wart im {Urlaub|#912}, als ich euch anrief.;;true;false
115;2;Nous passons nos {vacances|#911} en Croatie.;Wir verbringen unsere {Ferien|#913} in Kroatien.;;true;false
116;2;Nous {louons|#914} une {maison de vacances|#916} {au bord de la mer|#918}.;Wir {mieten|#915} ein {Ferienhaus|#917} {am Meer|#919}.;;true;false
117;2;Son {attente|#920} d'une réponse rapide a été {déçue|#922}.;Seine {Erwartung|#921} auf eine schnelle Antwort wurde {enttäuscht|#923}.;;true;false
118;2;La {réderie|#924} d'Amiens attire de nombreux visiteurs.;Der {Flohmarkt|#643} von Amiens zieht viele Besucher an.;;true;false
119;2;La {braderie|#925} de Lille est très connue.;Der {Flohmarkt|#643} in Lille ist sehr bekannt.;;true;false
120;2;Le {chiffre d'affaires|#926} a {augmenté|#928} de 10 %.;Der {Umsatz|#927} ist um 10 % {gestiegen|#929}.;;true;false
121;2;Elle emporte un {cabas|#930} en {toile|#931} au marché.;Sie bringt eine {Einkaufstasche|#932} aus {Stoff|#398} mit auf den Markt.;;true;false
122;2;Le {tissu|#396} de cette chemise est très {doux|#933}.;Der {Stoff|#398} dieses Hemdes ist sehr {weich|#934}.;;true;false
123;2;Ce vin est {brut|#935} et {sec|#936}.;Dieser Wein ist {herb|#937} und {trocken|#938}.;;true;false
124;2;Il faut ajouter de la {levure|#939} à la {pâte|#941}.;Man muss dem {Teig|#942} {Hefe|#940} hinzufügen.;;true;false
125;2;Le bébé boit son lait dans un {biberon|#943}.;Das Baby trinkt seine Milch aus einem {Fläschchen|#944}.;;true;false
126;2;Il a accroché une {remorque|#945} à sa voiture.;Er hat einen {Anhänger|#946} an sein Auto gehängt.;;true;false
127;2;Elle veut {se débarrasser|#947} de ces vieux {meubles|#949}.;Sie will diese alten {Möbel|#950} {loswerden|#948}.;;true;false
128;2;Le chocolat {fond|#951} au soleil.;Die Schokolade {schmilzt|#952} in der Sonne.;;true;false
129;2;Chaque invité a un {couvert|#953} complet.;Zu jedem Gast gehört ein komplettes {Besteck|#954}.;;true;false
130;2;L'{argent|#1027} est un {métal précieux|#955}.;{Silber|#1028} ist ein {Edelmetall|#956}.;;true;false
131;2;L'{argenterie|#1025} est rangée dans le {tiroir|#957}.;Das {Silberbesteck|#1026} liegt in der {Schublade|#958}.;;true;false
132;2;Je n'ai pas de {fourchette|#959} {propre|#644}.;Ich habe keine {saubere|#645} {Gabel|#960}.;;true;false
133;2;Le {couteau|#961} n'est pas bien {aiguisé|#963}.;Das {Messer|#962} ist nicht gut {geschärft|#964}.;;true;false
134;2;Je prends une {cuillère|#965} de sucre.;Ich nehme einen {Löffel|#966} Zucker.;;true;false
135;2;{Autrefois|#578}, la {dot|#967} était courante dans les {mariages|#969}.;{Früher|#579} war die {Mitgift|#968} bei {Hochzeiten|#970} üblich.;;true;false
136;2;La {porcelaine|#971} de Limoges est {célèbre|#87}.;Das {Porzellan|#972} aus Limoges ist {berühmt|#89}.;;true;false
137;2;Il faut {polir|#973} l'{argenterie|#1025} pour qu'elle {brille|#162}.;Man muss das {Silber|#1028} {polieren|#974}, damit es {glänzt|#725}.;;true;false
138;2;Un grand {lustre|#975} {éclaire|#977} la {salle|#979}.;Ein großer {Kronleuchter|#976} {erhellt|#978} den {Saal|#980}.;;true;false
139;2;Cet enfant est {insolent|#981}.;Dieses Kind ist {frech|#982}.;;true;false
140;2;La {perte|#983} de son {portefeuille|#69} l'a beaucoup {inquiété|#985}.;Der {Verlust|#984} seiner {Brieftasche|#70} hat ihn sehr {beunruhigt|#986}.;;true;false
141;2;Le {début|#987} du film est {passionnant|#989}.;Der {Anfang|#988} des Films ist {spannend|#990}.;;true;false
142;2;La {faïence|#991} de Delft est très {réputée|#993}.;Das Delfter {Steingut|#992} ist sehr {berühmt|#89}.;;true;false
143;2;La {vente aux enchères|#994} a eu lieu hier.;Die {Auktion|#995} fand gestern statt.;;true;false
144;2;Je dois {sauvegarder|#996} mes {fichiers|#997}.;Ich muss meine {Dateien|#998} {speichern|#999}.;;true;false
145;2;Les {draps|#1000} sont {propres|#644} et {frais|#1002}.;Die {Bettlaken|#1001} sind {sauber|#645} und {frisch|#1003}.;;true;false
146;2;Il aime {marchander|#1004} les prix au marché.;Er {feilscht|#1005} gern um die Preise auf dem Markt.;;true;false
147;2;Une {cigogne|#1006} a {niché|#1008} sur le {toit|#1010}.;Ein {Storch|#1007} hat auf dem {Dach|#1011} {genistet|#1009}.;;true;false
148;2;Je dois {faire la poussière|#1012} dans le {salon|#1014}.;Ich muss im {Wohnzimmer|#1015} {Staub wischen|#1013}.;;true;false
149;2;Il a sorti un {mouchoir|#1016} de sa {poche|#1018}.;Er zog ein {Taschentuch|#1017} aus seiner {Tasche|#395}.;;true;false
150;2;Elle a reçu un {trousseau|#1019} complet pour son {mariage|#969}.;Sie hat zu ihrer {Hochzeit|#970} eine komplette {Aussteuer|#1020} erhalten.;;true;false
151;2;La {nappe|#1021} blanche est sur la table.;Die weiße {Tischdecke|#1022} liegt auf dem Tisch.;;true;false
152;2;Je bois mon café dans une {tasse|#1023}.;Ich trinke meinen Kaffee aus einer {Tasse|#1024}.;;true;false
153;3;Il aime simplement {traîner|#1029} le week-end.;Er {hängt|#1030} am Wochenende einfach nur {herum|#1030};;true;false
154;3;Elle porte une {bague|#1031} en {or|#1033}.;Sie trägt einen {Goldring|#1032}.;;true;false
155;3;Le {scientifique|#1034} étudie le {climat|#1036}.;Der {Wissenschaftler|#1035} untersucht das {Klima|#1037}.;;true;false
156;3;Le {réchauffement climatique|#1038} est une {menace|#1040} {mondiale|#1042}.;Die {Erderwärmung|#1039} ist eine {weltweite|#1043} {Bedrohung|#1041}.;;true;false
157;3;Le {changement climatique|#1044} affecte toute la {planète|#1046}.;Der {Klimawandel|#1045} betrifft den ganzen {Planeten|#1047}.;;true;false
158;3;L'{inondation|#1048} a {endommagé|#1050} de nombreuses maisons.;Die {Überschwemmung|#1049} hat viele Häuser {beschädigt|#1051}.;;true;false
159;3;Les {retards|#1052} sont dûs à la {pluie|#1054}.;Die {Verspätungen|#1053} sind aufgrund des {Regens|#1055}.;;true;false
160;3;La {sécheresse|#1056} dure depuis plusieurs mois.;Die {Dürre|#1057} hält seit mehreren Monaten an.;;true;false
161;3;Le {climat|#1036} est très {sec|#1058} en {été|#1060}.;Das {Klima|#1037} ist im Sommer sehr {trocken|#1059}.;;true;false
162;3;Un {oiseau migrateur|#1061} revient au {printemps|#1063}.;Ein {Zugvogel|#1062} kehrt im {Frühling|#1064} zurück.;;true;false
163;3;La région est couverte d'une {forêt mixte|#1065}.;Die Region ist von einem {Mischwald|#1066} bedeckt.;;true;false
164;3;Le {glacier|#1067} {fond|#951} rapidement.;Der {Gletscher|#1068} {schmilzt|#952} schnell.;;true;false
165;3;Les {Vikings|#1069} ont {voyagé|#455} en Europe.;Die {Wikinger|#1070} {reisten|#454} durch Europa.;;true;false
166;3;Les {colons|#1071} se sont {installés|#1073} {près de|#1075} le {fleuve|#1077}.;Die {Siedler|#1072} haben sich {niedergelassen|#1074} {am|#1076} {Fluss|#531}.;;true;false
167;3;La {période glaciaire|#1078} a duré plusieurs {millénaires|#1080}.;Die {Eiszeit|#1079} dauerte mehrere {Jahrtausende|#1081}.;;true;false
168;3;Un {marais|#1082} {s'étend|#1084} derrière la forêt.;Hinter dem Wald {erstreckt sich|#1085} ein {Sumpf|#1083}.;;true;false
169;3;J'ai entendu dire qu'il allait {neiger|#1086}.;Ich habe gehört, dass es {schneien|#1087} wird.;;true;false
170;3;Nous passons nos {vacances|#911} à la {mer Baltique|#1088}.;Wir verbringen unsere {Ferien|#913} an der {Ostsee|#1089}.;;true;false
171;3;Une {chute de pierres|#1090} a bloqué la route.;Ein {Steinschlag|#1091} hat die Straße blockiert.;;true;false
172;3;Le {froid|#1092} de l'hiver est {intense|#1094}.;Die {Winterkälte|#1093} ist {heftig|#1095}.;;true;false
173;3;Ce mur retient bien le {matériau isolant|#1096}.;Diese Wand hält das {Dämmmaterial|#1097} gut zurück.;;true;false
174;3;Une {fissure|#1098} est apparue dans le mur.;Ein {Riss|#1099} ist in der Wand entstanden.;;true;false
175;3;L'eau commence à {geler|#1100}.;Das Wasser beginnt zu {gefrieren|#1101}.;;true;false
176;3;Nous aimons {patiner|#1102} en hiver.;Wir {laufen|#1103} im Winter gern {Schlittschuh|#1103}.;;true;false
177;3;Il faut {déneiger|#1104} l'allée.;Man muss den Weg {vom Schnee befreien|#1105}.;;true;false
178;3;Les enfants adorent {faire de la luge|#1106}.;Die Kinder {rodeln|#1107} gern.;;true;false
179;3;Le {téléphérique|#1108} monte jusqu'au {sommet|#1110}.;Die {Seilbahn|#1109} fährt bis zum {Gipfel|#1111}.;;true;false
180;3;Un {canon à neige|#1112} fonctionne toute la nuit.;Die {Schneekanone|#1113} läuft die ganze Nacht.;;true;false
181;3;Une {borne de recharge|#1114} est installée près du {parking|#1116}.;Neben dem {Parkplatz|#1117} steht eine {Ladestation|#1115}.;;true;false
182;3;La {fumée|#1118} {s'échappe|#1120} de la {cheminée|#1122}.;Der {Rauch|#1119} {entweicht|#1121} aus dem {Schornstein|#1123}.;;true;false
183;3;La voiture {démarre|#1124} sans problème.;Das Auto {startet|#1125} ohne Probleme.;;true;false
184;3;L'avion {décolle|#1126} à 15 heures.;Das Flugzeug {hebt|#1127} um 15 Uhr {ab|#1127}.;;true;false
185;3;Le {décollage|#1128} de l'avion a été {retardé|#468}.;Der {Start|#1129} des Flugzeugs hat sich verzögert.;;true;false
186;3;L'avion va {atterrir|#1130} dans quelques minutes.;Das Flugzeug wird in wenigen Minuten {landen|#1131}.;;true;false
187;3;L'{atterrissage|#1132} s'est bien passé.;Die {Landung|#1133} ist gut verlaufen.;;true;false
188;3;Une {méduse|#1134} {flotte|#1136} près de la {plage|#448}.;Eine {Qualle|#1135} {treibt|#1137} in der Nähe des {Strands|#451}.;;true;false
189;3;Un {double vitrage|#1138} améliore l'{isolation|#1140}.;Eine {Doppelverglasung|#1139} verbessert die {Dämmung|#1141}.;;true;false
190;3;Le {kérosène|#1142} est utilisé comme {carburant d'avion|#1144}.;{Kerosin|#1143} wird als {Flugzeugtreibstoff|#1145} verwendet.;;true;false
191;3;Une {pompe à chaleur|#1146} {chauffe|#1148} la maison.;Eine {Wärmepumpe|#1147} {heizt|#1149} das Haus.;;true;false
192;3;Il faut {enlever|#1150} des arbres pour construire la route.;Man muss Bäume {entfernen|#1151}, um die Straße zu bauen.;;true;false
193;3;Un {arbuste|#1152} {pousse|#242} près de la {haie|#1154}.;Ein {Strauch|#1153} {wächst|#278} neben der {Hecke|#1155}.;;true;false
194;3;La {verdure|#1156} du parc est {magnifique|#406}.;Das {Grün|#1157} des Parks ist {wunderschön|#405}.;;true;false
195;3;La {couronne|#1158} de l'arbre est très {large|#486}.;Die {Baumkrone|#1159} ist sehr {ausladend|#1160}.;;true;false
196;3;La {rivière|#528} a {débordé|#1161} après la {pluie|#1054}.;Der {Fluss|#531} ist nach dem {Regen|#1055} {über die Ufer getreten|#1162}.;;true;false
197;3;Il faut {abattre|#1163} cet arbre malade.;Dieser kranke Baum muss {gefällt werden|#1164}.;;true;false
198;3;Un {panneau solaire|#1165} produit de l'{électricité|#1167}.;Ein {Solarpanel|#1166} erzeugt {Strom|#1168};;true;false
199;3;Le {forage|#1169} a {atteint|#1171} une {nappe d'eau|#1173}.;Die {Bohrung|#1170} hat eine {Wasserader|#1174} {erreicht|#1172}.;;true;false
200;3;Le meuble est {abîmé|#1175} par l'{humidité|#1177}.;Das Möbelstück ist durch die {Feuchtigkeit|#1178} {beschädigt|#1051}.;;true;false
201;3;Les {rails|#1179} du train doivent être {entretenus|#1181}.;Die {Bahnschienen|#1180} müssen {gewartet|#1182} werden.;;true;false
202;3;Il faut {soutenir|#1183} ce projet.;Man muss dieses Projekt {unterstützen|#1184}.;;true;false
204;3;Un {tiers|#1185} des habitants a signé la {pétition|#1187}.;Ein {Drittel|#1186} der Einwohner hat die {Petition|#1188} unterschrieben.;;true;false
205;3;Un {chauffe-eau instantané|#1189} fournit de l'eau chaude immédiatement.;Ein {Durchlauferhitzer|#1190} liefert sofort heißes Wasser.;;true;false
206;3;Ça nous {arrange|#1191} bien que tu puisses venir.;Es {passt|#1192} uns gut, dass du kommen kannst.;;true;false
207;3;L'{amortissement|#1193} de l'{investissement|#1195} est prévu en cinq ans.;Die {Amortisation|#1194} der {Investition|#1196} ist in fünf Jahren geplant.;;true;false
208;3;Le {carrelage|#1197} de la cuisine est neuf.;Die {Kacheln|#1198} in der Küche sind neu.;;true;false
209;3;Un {haut-parleur|#1199} diffuse la musique.;Ein {Lautsprecher|#1200} gibt die Musik wieder.;;true;false
210;3;L'{épaisseur|#1201} du mur est de 40 centimètres.;Die {Dicke|#1202} der Wand beträgt 40 cm;;true;false
211;3;Il ne parle {guère|#1203} de sa famille.;Er spricht {kaum|#1204} über seine Familie.;;true;false
212;3;La {prévision météo|#1205} annonce de la {pluie|#1054}.;Die {Wettervorhersage|#1206} meldet {Regen|#1055}.;;true;false
213;3;La {prédiction|#1207} s'est révélée exacte.;Die {Prognose|#1208} hat sich als zutreffend erwiesen.;;true;false
214;3;Les {dégâts|#1209} de la {tempête|#1211} sont importants.;Die {Sturmschäden|#1210} sind erheblich.;;true;false
215;4;L'{entreprise|#178} doit {fournir|#1212} des {preuves|#1214}.;Die {Firma|#1213} muss {Beweise|#1215} {liefern|#1216}.;;true;false
