fr;de;priority
froid;Kälte;1
garer la voiture;das Auto parken;1
gâter qn.;jmdn. verwöhnen;1
gaz à effet de serre;Treibhausgase;1
geler;gefrieren;1
généalogie;Ahnenforschung;1
gérer des désaccords;Uneinigkeiten managen;1
gérer un conflit;einen Konflikt lösen;1
glacier;Gletscher;1
GPS;GPS-Geräte;1
grec/grecque;griechisch;1
gronder;schimpfen;1
guérir;heilen;1
guêtres;Gamaschen;1
gyrophare;Blaulicht;1
habits de ski;Skibekleidung;1
haie;Hecke;1
haut-parleur;Lautsprecher;1
héliportage;Helikoptertransport;1
hésiter à faire qc.;zögern, etw. zu tun;1
hêtre;Buche;1
horloge;Uhr;1
hors de la famille;außerhalb der Familie;1
hydrogène;Wasserstoff;1
impair;ungerade (Zahl);1
indice;Hinweis;1
infusion;Tee;1
inondation;Überschwemmung;1
insolent;frech, respektlos;1
insolite;ungewöhnlich;1
interlocuteur;Gesprächspartner;1
interpeller;festnehmen / stellen;1
j’y suis allé;ich bin dorthin gegangen;1
jovial;gut gelaunt / fröhlich;1
jumeaux;Zwillinge;1
jumelles;Zwillingsschwestern;1
justificatif de domicile;Wohnsitznachweis;1
kérosène;Kerosin;1
klaxonner;hupen;1
La Haye;Den Haag;1
lac;See;1
le terrain est en pente;das Gelände ist abschüssig;1
léger;leicht;1
légume;Gemüse;1
lettre de condoléances;Beileidsbrief;1
levure;Hefe;1
lieu d’achat;Kaufort;1
loin d’être le cas;bei weitem nicht der Fall sein;1
lointain;fern, entfernt;1
lorsque / afin que;wenn / damit;1
lourd;schwer;1
lustre;Kronleuchter;1
magie;Magie;1
maire;Bürgermeister;1
maison de vacances;Ferienhaus;1
mal assuré;unsicher (körperlich);1
mal assuré;unsicher (emotional);1
mal s’entendre avec qn.;sich schlecht mit jmdm. verstehen;1
malgré moi;unwillkürlich;1
manifestation;Demonstration;1
marais;Sumpf;1
marchander;feilschen;1
marché aux puces;Flohmarkt;1
marque;Marke;1
matériau;Material;1
matériel;Ausrüstung;1
maternelle;Kindergarten;1
méduse;Qualle;1
meilleur marché;günstiger;1
mélange;Mischung;1
mémoire;Datenspeicher;1
mer Baltique;Ostsee;1
merisier;Kirschholz;1
mètre cube;Kubikmeter;1
mettre qc. à l’épreuve;etw. auf die Probe stellen;1
milliers;Tausende;1
moniteur de parapente;Gleitschirmlehrer;1
mouchoir;Taschentuch;1
nappe;Tischdecke;1
ne guère;kaum;1
ne pas prendre de gants;kein Blatt vor den Mund nehmen;1
négligeable;vernachlässigbar;1
nouer qc. avec qc.;etw. knüpfen;1
oiseau migrateur;Zugvogel;1
or;jedoch;1
oreillette;Ohrhörer (einzeln);1
otorhino;HNO-Arzt;1
oublier qc.;etw. vergessen;1
pair;gerade (Zahl);1
pancarte;Schild;1
panneau solaire;Solarpanel;1
par convention;aus Konvention;1
par intérim;übergangsweise;1
par intermédiaire;über eine Vermittlung;1
parcourir une étude;eine Studie durchsehen;1
parquet;Parkett;1
parquet flottant;Laminat;1
pas de / beaucoup de;kein / viel von;1
passer par Paris;durch Paris fahren;1
passer sur la périphérie;über die Ringstraße fahren;1
pâte d'amandes;Marzipan;1
patiner;Schlittschuh laufen;1
pénaliser qc.;benachteiligen;1
période glaciaire;Eiszeit;1
périphérie;Stadtrand;1
perte;Verlust;1
phénomène;Phänomen;1
piéton;Fußgänger;1
piétonnisé;zur Fußgängerzone gemacht;1
pin;Kiefer;1
pin parasol;Pinie;1
pipelette;Plappermaul;1
piste cyclable;Fahrradweg;1
plagiat;Plagiat;1
plaie;Wunde;1
plaisanter;scherzen;1
plein de qc.;voll von etw.;1
polir;polieren;1
pollution sonore;Lärmverschmutzung;1
pompe à chaleur;Wärmepumpe;1
porcelaine;Porzellan;1
portefeuille;Brieftasche;1
pour autant;trotzdem / dennoch;1
pousser;wachsen;1
pousser (un vélo);(ein Fahrrad) schieben;1
poussette;Kinderwagen;1
prédiction;Prognose;1
prendre fin;enden;1
prévision;Vorhersage;1
probabilité;Wahrscheinlichkeit;1
rage de dents;Zahnschmerzen;1
rail;Schiene;1
ralentir;langsamer werden;1
randonner;wandern;1
randonnée;Wanderung;1
rang de naissance;Geburtsrang;1
rapporter;mitbringen;1
raquettes;Schneeschuhe;1
rassembler;versammeln;1
rayonnante;strahlend;1
rebelle;rebellisch;1
rebondir;sich wieder fangen;1
réchauffement climatique;Erderwärmung;1
reclus socialement;gesellschaftlich zurückgezogen;1
réderie;Trödelmarkt (Picardie);1
région;Region;1
région viticole;Weinbauregion;1
réjouissant;erfreulich;1
remorque;Anhänger;1
renverser;überfahren;1
répandre;verstreuen;1
répandre;verbreiten;1
répondre à un besoin;einen Bedarf decken;1
respirer;atmen;1
retenir un matériau;ein Material zurückhalten;1
retenue;Rückhaltebecken;1
riverain;Anwohner;1
rôder;herumschleichen;1
rôle;Rolle;1
rotin;Rattan;1
rouille;Rost;1
rouiller;rosten;1
rouler;fahren;1
rue à sens unique;Einbahnstraße;1
rue principale;Hauptstraße;1
s’agacer;genervt sein;1
s’échapper;entweichen;1
s’entretenir;sich unterhalten;1
s'inscrire à qc.;sich zu etw. anmelden;1
s’installer;sich niederlassen;1
s’insurger;sich empören;1
s’interroger en continu;ständig über etw. nachdenken;1
sac de couchage;Schlafsack;1
sacoche;Umhängetasche;1
saisonnier;Saisonarbeiter;1
sans forfait;ohne Skipass;1
sauvegarder;speichern;1
scandinave;skandinavisch;1
scarabée;Käfer (Tier);1
scientifique;Wissenschaftler;1
se débarrasser de qc.;etw. loswerden;1
se dérouler;stattfinden / verlaufen;1
se disputer;sich streiten;1
se patiner;Patina bekommen;1
se rapprocher à l’âge adulte;sich im Erwachsenenalter annähern;1
se répandre;sich verbreiten;1
se tailler une place;sich einen Platz erkämpfen;1
sec / sèche;trocken;1
sécheresse;Dürre;1
semelle;Sohle;1
skieur;Skifahrer;1
sobriété;Genügsamkeit;1
sommet;Gipfel;1
son regard s’illumine;sein Blick hellt sich auf;1
souliers;Schuhe;1
soutenir;unterstützen;1
station thermale;Kurort;1
stockage;Speicherung;1
subitement;plötzlich;1
suffisamment;ausreichend;1
supplanter;verdrängen;1
sur l’herbe;auf dem Gras;1
sur la côte;an der Küste;1
table de multiplication;Einmaleins;1
tableau;Gemälde;1
tabouret;Hocker;1
talon;Absatz;1
tandis que;während;1
tantôt;mal so, mal so;1
tas;Haufen;1
tasse;Tasse;1
taux de natalité;Geburtenrate;1
téléphérique;Seilbahn;1
thermalisme;Thermalwesen;1
thermos;Thermoskanne;1
tier;Drittel;1
tisane;Kräutertee;1
tissu;Stoff;1
tomber dans l’escalier;die Treppe hinunterfallen;1
trafic;Verkehr;1
traîner;herumhängen;1
travaux dans la rue;Straßenarbeiten;1
travail;Arbeit;1
tronçon d’autoroute;Autobahnabschnitt;1
trousseau;Aussteuer;1
trouvaille;Fundstück;1
TVA;Mehrwertsteuer;1
une passion m’a gagnée;eine Leidenschaft hat mich gepackt;1
utilisable;verwendbar;1
vaisselle;Geschirr;1
valoriser;aufwerten;1
végétaliser;begrünen;1
vente aux enchères;Auktion;1
verdure;Grün;1
vide-greniers;Dachbodenflohmarkt;1
viking;Wikinger;1
ville;Stadt;1
viticole;weinbau-;1
voie;Spur / Fahrbahn;1
vol;Flug;1
vous étiez;ihr wart / Sie waren;1
vrais jumeaux;eineiige Zwillinge;1
VTT (Vélo Tout Terrain);Mountainbike;1
autrefois;früher;1
autre part;woanders;1
se détériorer;sich verschlechtern;1
détériorer qc.;etw. verschlechtern;1
annuler qc.;etw. absagen;1
fouiller;kramen;1
bazar;Kram;1
se détendre;sich entspannen;1
supprimer qc.;etw. abschaffen;1
abolir qc.;etw. abschaffen;1
périphérique;Stadtring;1
diminuer;abnehmen;1
porter qc. à qn.;jmdm. etw. bringen;1
mesure;Maßnahme;1
radar;Blitzer;1
véhicules en face;entgegenkommende Fahrzeuge;1
valoir qc. à qn;jmdm. einen guten Ruf einbringen;1
bâti;bebaut;1
battu;heimgesucht;1
métro;U-Bahn;1
rue piétonne;Fußgängerzone;1
rue large;breite Straße;1
feux;Ampel;1
spécial;besonders;1
trottinette;E-Scooter;1
se faufiler;sich durchschlängeln;1
récompenser qn;belohnen;1
respirable;atembar;1
gaz d’échappement;Abgase;1
Solex;Solex;1
pour cent;Prozent;1
posséder qc.;etw. besitzen;1
être en bon état;in gutem Zustand sein;1
garer la voiture;parken;1
pente;Steigung;1
brûler;abbrennen;1
chaleureux;herzlich;1
houleux;hitzig;1
concept;Konzept;1
fontaine;Brunnen;1
trace;Spur;1
élargir qc.;verbreitern;1
regretter qc.;etw. bereuen;1
regretter qn.;jmdm. nachtrauern;1
commode;bequem;1
attendre qc.;erwarten;1
se garer;einparken;1
s’effondrer;einstürzen;1
battre;schlagen;1
récompenser qn.;jmdn. entlohnen;1
attendre qc.;etw. erwarten;1
clé;Schlüssel;1
embouteillage;Stau;2
